Open,High,Low,Close,Adj Close,Volume
5.57,5.57,5.41,5.52,5.52,4748700
null,null,null,null,null,null
5.44,5.48,5.4,5.46,5.46,6404500
5.49,5.49,5.27,5.3,5.3,9767400
5.38,5.38,5.13,5.36,5.36,8789000
5.32,5.37,5.24,5.31,5.31,10286700
5.33,5.33,5.23,5.27,5.27,11744100
5.28,5.38,5.27,5.36,5.36,50409200
5.35,5.55,5.34,5.5,5.5,7351600
5.31,5.51,5.31,5.48,5.48,5339500
5.55,5.64,5.47,5.5,5.5,11748200
5.5,5.56,5.45,5.52,5.52,4256000
5.5,5.56,5.43,5.43,5.43,1793900
5.43,5.43,5.43,5.43,5.43,0
5.43,5.43,5.43,5.43,5.43,0
5.52,5.58,5.35,5.51,5.51,5114700
5.51,5.67,5.51,5.6,5.6,5279400
5.67,5.69,5.57,5.6,5.6,12100500
5.62,5.68,5.6,5.68,5.68,8402200
5.57,5.67,5.53,5.63,5.63,6283500
5.67,5.67,5.63,5.63,5.63,5808800
5.62,5.65,5.58,5.61,5.61,2864600
5.65,5.65,5.6,5.62,5.62,1942900
5.65,5.69,5.62,5.64,5.64,5497100
5.6,5.76,5.6,5.76,5.76,7048600
5.67,5.83,5.67,5.79,5.79,9097900
5.81,5.81,5.73,5.76,5.76,4434100
5.83,5.83,5.68,5.78,5.78,2301000
5.79,5.83,5.73,5.8,5.8,4947300
5.71,5.82,5.71,5.8,5.8,6891800
5.74,5.81,5.74,5.8,5.8,3455300
5.8,5.82,5.76,5.82,5.82,3352800
5.85,5.95,5.79,5.84,5.84,9534900
5.86,5.87,5.8,5.87,5.87,3269400
5.88,5.89,5.81,5.83,5.83,1288400
5.83,5.87,5.82,5.86,5.86,5455800
5.74,5.8,5.7,5.75,5.75,3782300
5.78,5.82,5.77,5.8,5.8,5005000
5.8,5.82,5.77,5.81,5.81,3246400
5.82,5.82,5.79,5.81,5.81,1358400
5.78,5.8,5.77,5.79,5.79,3269500
5.75,5.8,5.68,5.74,5.74,1038400
5.76,5.8,5.71,5.8,5.8,1113300
5.74,5.78,5.74,5.77,5.77,2156100
5.76,5.78,5.76,5.76,5.76,981300
5.8,5.81,5.76,5.78,5.78,5420100
5.81,5.81,5.73,5.8,5.8,1036100
5.8,5.87,5.74,5.76,5.76,2828000
5.73,5.78,5.72,5.75,5.75,1995800
5.73,5.78,5.73,5.75,5.75,4818000
5.75,5.75,5.66,5.7,5.7,1442000
5.68,5.76,5.65,5.75,5.75,1795900
5.79,5.79,5.65,5.74,5.74,7244200
5.7,5.79,5.65,5.76,5.76,2181300
5.72,5.76,5.68,5.73,5.73,4145100
5.68,5.75,5.66,5.68,5.68,3211600
5.6,5.77,5.6,5.68,5.68,7056000
5.63,5.87,5.63,5.75,5.75,6586500
5.8,5.85,5.72,5.75,5.75,4831300
5.8,5.87,5.72,5.73,5.73,4271200
5.68,5.69,5.63,5.66,5.66,7619000
5.7,5.75,5.66,5.66,5.66,4681800
5.63,5.68,5.55,5.68,5.68,1958300
5.64,5.69,5.6,5.69,5.69,3546200
5.67,5.8,5.67,5.69,5.69,3474600
5.69,5.7,5.66,5.68,5.68,5499300
5.68,5.74,5.66,5.66,5.66,8248100
5.72,5.72,5.62,5.67,5.67,8181300
5.59,5.8,5.59,5.68,5.68,10103000
5.68,5.75,5.65,5.7,5.7,2339500
5.78,5.85,5.73,5.73,5.73,16726300
5.79,5.79,5.7,5.75,5.75,4497000
5.79,5.8,5.67,5.77,5.77,3938700
5.77,5.84,5.76,5.79,5.79,5854100
5.82,5.88,5.74,5.76,5.76,10912000
